BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207
2392,33246,2.6,11313,11400,0,0.4,2.5,0,2.7,33.1
211,2843,4.1,647,961,0,0,0,0,0,0
23,114,-5.8,183,177,0,0,0,0,0,0
673,7394,3.7,3311,4492,6.5,0,0,0,0,25.9
423,4505,-10.4,1369,1650,0,0,0,0,0,0
385,4899,-1.6,1849,2163,0,0,0,0,0,31
212,3744,-1.2,692,940,0,0,0,0,0,36.3
553,4496,0.8,2648,3558,0,0,0,0,0,25
3182,38001,1.7,9875,12696,16,0,4.4,0,3.6,29.8
1950,32861,0.4,6748,8145,0,0,3.3,0,0,28.6
5513,64358,5.2,17610,19448,1.9,0.5,4.3,0,4.4,27.5
414,5869,-2.7,1591,1915,0,0,0,0,0,25.3
33874,723886,3.1,99463,106113,26.7,0.5,5.4,0,3.2,32.3
522,5524,-0.8,2567,2593,0,0,0,0,0,24.7
22,0,0,172,216,0,0,0,0,0,0
2427,29435,1.5,6218,0,0,0,0,0,0,0
986,18965,6.2,3429,4842,0,0,2.6,0,0,20.4
402,3841,-0.4,1483,1843,0,0,0,0,0,27.3
420,4549,5.1,1439,1986,14.6,0,0,0,0,16.5
21547,305293,3,90033,93820,17,1.1,14.2,0.2,9.3,28.6
802,11576,-2.2,2865,4315,0,0,0,0,0,24
3953,64743,4.2,13987,17307,0,0.6,4.4,0,6.9,25.1
73,601,-5.4,500,715,55.5,0,0,0,0,31.7
441,5221,5.8,2025,2349,0,0,0,0,0,22
377,3921,18.2,2338,2514,0,0,0,0,0,21.1
393,5319,-1.5,1798,1725,0,0,0,0,0,22.7
118,1181,0,705,1038,0,0,0,0,0,23.4
3354,46159,7.1,17787,18508,28.9,0,5.4,0,2.7,33.6
2318,36198,6.7,8976,8657,17.1,0,6.2,0,2.8,29.1
125,1727,0.2,561,742,10.9,0,0,0,0,0
1162,16656,5.3,4692,6073,0,0,1.5,0,3.9,21.1
147,1383,-1.2,1055,1517,0,0,0,0,0,27.7
239,3344,5.9,852,1009,0,0,0,0,0,0
300,3935,-1.8,1139,1266,31.8,0,0,0,0,27.6
97,946,-1.1,545,716,0,0,0,0,0,0
